YEAR,ORISPL,PNAME,PSTATABB,PLPRMFL,PLHTIAN,PLNGENAN,NAMEPCAP,CAPFAC,PLCO2AN
2018,2406,Linden Generating Station,NJ,NG,38398080,5265587,2121.3,0.28336,2294818.1
2018,2411,Sewaren Generating Station,NJ,NG,10512851,2092350,1176.9,0.20295,624761.3
2018,2434,Howard M Down,NJ,NG,800883,79762,138.7,0.06565,48027.7
2018,2444,Rio Grande,NM,NG,7748453,642022,398.3,0.18401,460477.8
2018,2446,Maddox,NM,NG,3950936,555196,212,0.29896,234800.8
2018,2450,Reeves Generating Station,NM,NG,2462845,193261,154,0.14326,146365.4
2018,2454,Cunningham,NM,NG,14987565,1156142,519.2,0.2542,890684.3
2018,2465,Animas,NM,NG,417846,34004,50.3,0.07717,24420.813
2018,2480,Danskammer Generating Station,NY,NG,440155,30503,537.4,0.00648,26178.4
2018,2487,West Coxsackie,NY,NG,8138,591,21.6,0.00312,475.622
2018,2490,Arthur Kill,NY,NG,11542134,989784,895.5,0.12617,685923.768
2018,2493,East River,NY,NG,22298798.004,2955258,716.2,0.47104,1332119.636
2018,2499,Narrows Generating Station,NY,NG,1699055.999,71060,352,0.02305,99300.529
2018,2500,Ravenswood Generating Station,NY,NG,32973463,3337960.999,2941,0.12956,1987153.32
2018,2511,E F Barrett,NY,NG,16717681,1436336,687.2,0.2386,1000438.2
2018,2517,Port Jefferson Energy Center,NY,NG,4434397,383865,590,0.07427,283745.4
2018,2527,Greenidge Generation LLC,NY,NG,2010041,190219,162,0.13404,119304.6
2018,2539,Bethlehem Energy Center (Albany),NY,NG,35597404,5142115,1293.1,0.45395,2115506
2018,2625,Bowline Generating Station,NY,NG,5398717,473118,1992,0.02711,330699.2
2018,2628,Hillburn,NY,NG,5967,318,46.5,0.00078,356.6
2018,2632,Shoemaker,NY,NG,6792,360,41.9,0.00098,405.4
2018,2679,Freeport Power Plant No. 2,NY,NG,434636,43526,97.8,0.0508,26191.6
2018,2682,S A Carlson,NY,NG,1214702,134001,96.3,0.15885,72181.7
2018,2695,Charles P Keller,NY,NG,20565.001,308.999,33.8,0.00104,1264.068
2018,2709,H F Lee Steam Electric Plant,NC,NG,55851328,7210666,1428.4,0.57626,3342967.9
2018,2713,L V Sutton,NC,NG,27361354,3643455,1613.9,0.25771,1626080
2018,2720,Buck,NC,NG,36196158,5173061,1172.3,0.50374,2151086.4
